what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1250020365373
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1250020365373
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1250020365373
started,bundle,org.eclipse.ui.intro,3.3.0.v20090526,"org.eclipse.ui.intro",1250020365373
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1250020365373
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1250020365373
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1250020365373
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1250020365373
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1250020365373
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1250020365373
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1250020365374
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1250020365374
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1250020365374
os,sysinfo,,,"win32",1250020365377
arch,sysinfo,,,"x86",1250020365377
ws,sysinfo,,,"win32",1250020365377
locale,sysinfo,,,"es_ES",1250020365377
processors,sysinfo,,,"2",1250020365378
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1250020365378
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1250020365378
java.specification.name,sysinfo,,,"Java Platform API Specification",1250020365378
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1250020365378
java.specification.version,sysinfo,,,"1.6",1250020365378
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1250020365378
java.version,sysinfo,,,"1.6.0_13",1250020365378
