what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250022592526
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250022625730
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250022627234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250022682155
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250022683433
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1250022690719
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1250022690756
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1250022706500
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1250022715828
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250022719520
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250023973552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250023976750
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250024056113
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250024102922
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250024178115
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250024182795
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250024189572
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1250024199722
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250025130479
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1250025137716
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250025138717
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250025139247
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250025139973
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250028789472
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250028796657
