what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.editors.layout.LayoutEditor",1250033011210
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033084830
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033086787
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250033097575
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1250033102613
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033102654
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033104841
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033106718
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033107325
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033108171
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033777546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033779537
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033779672
activated,editor,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.editors.layout.LayoutEditor",1250033782361
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250033818998
activated,editor,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1250033819252
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1250033827445
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1250033829693
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033838059
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033840021
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033840097
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033843081
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1250033843490
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1250033843920
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.pde.ui",1250033843920
